electrode_number,E_Brain,X,Y,Z,position_marker,E_EEG,position,label
48,SF,55.7699356079102,126.016441345215,142.495635986328,Y,E48,"[55.7699356079102, 126.016441345215, 142.495635986328]",2
49,LSF,72.1822357177734,169.455718994141,119.531860351562,Y,E49,"[72.1822357177734, 169.455718994141, 119.531860351562]",2
50,LSF,66.5587310791016,164.281341552734,121.879371643066,Y,E50,"[66.5587310791016, 164.281341552734, 121.879371643066]",2
51,LSF,62.0362892150879,158.22802734375,123.973388671875,Y,E51,"[62.0362892150879, 158.22802734375, 123.973388671875]",2
52,LSF,61.7607421875,152.227890014648,125.936279296875,Y,E52,"[61.7607421875, 152.227890014648, 125.936279296875]",2
53,LSF,60.1532859802246,145.183746337891,128.89453125,Y,E53,"[60.1532859802246, 145.183746337891, 128.89453125]",2
54,LSF,57.4535598754883,138.451629638672,131.176910400391,Y,E54,"[57.4535598754883, 138.451629638672, 131.176910400391]",2
55,LSF,56.0158920288086,131.789123535156,134.462738037109,Y,E55,"[56.0158920288086, 131.789123535156, 134.462738037109]",2
56,LSF,55.5373954772949,123.253829956055,136.815002441406,Y,E56,"[55.5373954772949, 123.253829956055, 136.815002441406]",2
73,PF,67.8689498901367,101.072708129883,187.425979614258,Y,E73,"[67.8689498901367, 101.072708129883, 187.425979614258]",0
74,PF,66.7483825683594,89.1223297119141,185.462127685547,Y,E74,"[66.7483825683594, 89.1223297119141, 185.462127685547]",0
75,PF,67.0771484375,80.8260116577148,183.805725097656,Y,E75,"[67.0771484375, 80.8260116577148, 183.805725097656]",0
76,PF,67.2437362670898,72.1940841674805,181.697662353516,Y,E76,"[67.2437362670898, 72.1940841674805, 181.697662353516]",0
77,PF,69.3891296386719,63.7685699462891,179.459335327148,Y,E77,"[69.3891296386719, 63.7685699462891, 179.459335327148]",0
78,PF,59.2070388793945,103.455429077148,179.600326538086,Y,E78,"[59.2070388793945, 103.455429077148, 179.600326538086]",0
79,PF,58.3119316101074,92.0746307373047,177.409271240234,Y,E79,"[58.3119316101074, 92.0746307373047, 177.409271240234]",0
80,PF,60.0567626953125,83.5290374755859,176.354217529297,Y,E80,"[60.0567626953125, 83.5290374755859, 176.354217529297]",0
81,PF,60.5220260620117,75.1657791137695,174.253921508789,Y,E81,"[60.5220260620117, 75.1657791137695, 174.253921508789]",0
82,PF,64.5708923339844,65.7020874023438,171.973205566406,Y,E82,"[64.5708923339844, 65.7020874023438, 171.973205566406]",0
83,PF,55.6717109680176,106.390571594238,172.669845581055,Y,E83,"[55.6717109680176, 106.390571594238, 172.669845581055]",0
84,PF,56.1215133666992,94.9123916625977,170.047561645508,Y,E84,"[56.1215133666992, 94.9123916625977, 170.047561645508]",0
85,PF,57.0874862670898,85.9356231689453,168.296264648438,Y,E85,"[57.0874862670898, 85.9356231689453, 168.296264648438]",0
86,PF,57.7116813659668,78.0407943725586,166.816741943359,Y,E86,"[57.7116813659668, 78.0407943725586, 166.816741943359]",0
87,PF,56.957389831543,70.2280654907227,165.070007324219,Y,E87,"[56.957389831543, 70.2280654907227, 165.070007324219]",0
88,PF,53.3382110595703,107.637084960938,165.450134277344,Y,E88,"[53.3382110595703, 107.637084960938, 165.450134277344]",0
89,PF,53.7717437744141,97.1682968139648,163.038818359375,Y,E89,"[53.7717437744141, 97.1682968139648, 163.038818359375]",0
90,PF,55.0044860839844,88.3092041015625,161.302825927734,Y,E90,"[55.0044860839844, 88.3092041015625, 161.302825927734]",0
91,PF,55.3889694213867,80.0342712402344,159.727966308594,Y,E91,"[55.3889694213867, 80.0342712402344, 159.727966308594]",0
92,PF,55.8210182189941,73.0829162597656,157.688522338867,Y,E92,"[55.8210182189941, 73.0829162597656, 157.688522338867]",0
93,ST,86.9535522460938,133.737152099609,86.8340301513672,Y,E93,"[86.9535522460938, 133.737152099609, 86.8340301513672]",1
94,ST,80.2722473144531,134.611236572266,86.0517501831055,Y,E94,"[80.2722473144531, 134.611236572266, 86.0517501831055]",1
95,ST,73.6798095703125,135.10107421875,88.068977355957,Y,E95,"[73.6798095703125, 135.10107421875, 88.068977355957]",1
96,ST,67.0952835083008,136.11882019043,92.135856628418,Y,E96,"[67.0952835083008, 136.11882019043, 92.135856628418]",1
97,ST,62.1291198730469,135.757171630859,98.8020629882812,Y,E97,"[62.1291198730469, 135.757171630859, 98.8020629882812]",1
98,ST,82.8837432861328,123.273544311523,86.0164947509766,Y,E98,"[82.8837432861328, 123.273544311523, 86.0164947509766]",1
99,ST,75.2488403320312,124.820259094238,85.2145843505859,Y,E99,"[75.2488403320312, 124.820259094238, 85.2145843505859]",1
100,ST,69.0505065917969,125.295883178711,86.6389541625977,Y,E100,"[69.0505065917969, 125.295883178711, 86.6389541625977]",1
101,ST,62.0740776062012,127.038291931152,94.2396697998047,Y,E101,"[62.0740776062012, 127.038291931152, 94.2396697998047]",1
102,ST,58.0985145568848,125.449493408203,100.966384887695,Y,E102,"[58.0985145568848, 125.449493408203, 100.966384887695]",1
103,ST,81.2646484375,114.538864135742,91.7096710205078,Y,E103,"[81.2646484375, 114.538864135742, 91.7096710205078]",1
104,ST,74.4102783203125,115.46989440918,90.408935546875,Y,E104,"[74.4102783203125, 115.46989440918, 90.408935546875]",1
105,ST,67.6446380615234,116.775939941406,86.9570922851562,Y,E105,"[67.6446380615234, 116.775939941406, 86.9570922851562]",1
106,ST,60.3379135131836,117.548210144043,91.2717895507812,Y,E106,"[60.3379135131836, 117.548210144043, 91.2717895507812]",1
107,ST,55.4520874023438,117.434524536133,99.4666442871094,Y,E107,"[55.4520874023438, 117.434524536133, 99.4666442871094]",1
108,ST,78.5848236083984,105.639297485352,98.2516174316406,Y,E108,"[78.5848236083984, 105.639297485352, 98.2516174316406]",1
109,ST,71.6442260742188,106.200912475586,97.8644561767578,Y,E109,"[71.6442260742188, 106.200912475586, 97.8644561767578]",1
110,ST,64.7511901855469,107.125915527344,92.9366455078125,Y,E110,"[64.7511901855469, 107.125915527344, 92.9366455078125]",1
111,ST,56.3232727050781,109.10791015625,93.3737106323242,Y,E111,"[56.3232727050781, 109.10791015625, 93.3737106323242]",1
112,ST,53.4413681030273,110.396095275879,99.9279174804688,Y,E112,"[53.4413681030273, 110.396095275879, 99.9279174804688]",1
