electrode_number,E_EEG,E_Brain,position,X,Y,Z,label
73,'E73',FP09,"[84.4263687133789, 140.058258056641, 155.831420898438]",84.4263687133789,140.058258056641,155.831420898438,0
74,'E74',FP10,"[81.6536254882813, 133.268798828125, 159.427520751953]",81.6536254882813,133.268798828125,159.427520751953,0
75,'E75',FP11,"[79.1435089111328, 125.674537658691, 162.017013549805]",79.1435089111328,125.674537658691,162.017013549805,0
76,'E76',FP12,"[76.0844268798828, 116.779014587402, 165.290679931641]",76.0844268798828,116.779014587402,165.290679931641,0
77,'E77',FP13,"[74.8054962158203, 108.172180175781, 167.508651733398]",74.8054962158203,108.172180175781,167.508651733398,0
78,'E78',FP14,"[73.5929107666016, 99.599250793457, 170.233795166016]",73.5929107666016,99.599250793457,170.233795166016,0
79,'E79',FP15,"[74.6735534667969, 87.783935546875, 170.48713684082]",74.6735534667969,87.783935546875,170.48713684082,0
80,'E80',FP16,"[74.9190521240234, 78.1819763183594, 172.607818603516]",74.9190521240234,78.1819763183594,172.607818603516,0
81,'E81',FP17,"[76.8575973510742, 138.779769897461, 152.306106567383]",76.8575973510742,138.779769897461,152.306106567383,0
82,'E82',FP18,"[73.7576141357422, 132.942413330078, 155.607635498047]",73.7576141357422,132.942413330078,155.607635498047,0
83,'E83',FP19,"[71.9856414794922, 125.105590820313, 158.041015625]",71.9856414794922,125.105590820313,158.041015625,0
84,'E84',FP20,"[69.603515625, 116.190780639648, 160.451522827148]",69.603515625,116.190780639648,160.451522827148,0
85,'E85',FP21,"[67.4697875976563, 107.181327819824, 163.620819091797]",67.4697875976563,107.181327819824,163.620819091797,0
86,'E86',FP22,"[65.6511077880859, 99.4855194091797, 165.775115966797]",65.6511077880859,99.4855194091797,165.775115966797,0
87,'E87',FP23,"[66.6577529907227, 85.6108474731445, 167.332778930664]",66.6577529907227,85.6108474731445,167.332778930664,0
88,'E88',FP24,"[66.4291534423828, 76.8642120361328, 169.140274047852]",66.4291534423828,76.8642120361328,169.140274047852,0
89,'E89',FP25,"[68.7017440795898, 139.425262451172, 146.099029541016]",68.7017440795898,139.425262451172,146.099029541016,0
90,'E90',FP26,"[66.72607421875, 133.115631103516, 149.546691894531]",66.72607421875,133.115631103516,149.546691894531,0
91,'E91',FP27,"[64.2986602783203, 124.243690490723, 152.82861328125]",64.2986602783203,124.243690490723,152.82861328125,0
92,'E92',FP28,"[61.9297943115234, 115.836120605469, 155.485290527344]",61.9297943115234,115.836120605469,155.485290527344,0
93,'E93',FP29,"[60.2706565856934, 106.41748046875, 157.492919921875]",60.2706565856934,106.41748046875,157.492919921875,0
94,'E94',FP30,"[56.4281730651856, 97.7791900634766, 160.078063964844]",56.4281730651856,97.7791900634766,160.078063964844,0
95,'E95',FP31,"[60.0934906005859, 84.861457824707, 161.875289916992]",60.0934906005859,84.861457824707,161.875289916992,0
96,'E96',FP32,"[60.0036087036133, 75.8439254760742, 162.934799194336]",60.0036087036133,75.8439254760742,162.934799194336,0
97,'E97',FP33,"[62.1718292236328, 138.667388916016, 138.952560424805]",62.1718292236328,138.667388916016,138.952560424805,0
98,'E98',FP34,"[58.9694442749023, 132.482437133789, 142.350128173828]",58.9694442749023,132.482437133789,142.350128173828,0
99,'E99',FP35,"[55.6941757202148, 123.547286987305, 145.033538818359]",55.6941757202148,123.547286987305,145.033538818359,0
100,'E100',FP36,"[53.5071830749512, 115.101554870605, 146.987640380859]",53.5071830749512,115.101554870605,146.987640380859,0
101,'E101',FP37,"[51.6015968322754, 105.736930847168, 149.997268676758]",51.6015968322754,105.736930847168,149.997268676758,0
102,'E102',FP38,"[51.2111282348633, 94.9092559814453, 153.601516723633]",51.2111282348633,94.9092559814453,153.601516723633,0
103,'E103',FP39,"[50.7035217285156, 84.2706756591797, 156.476821899414]",50.7035217285156,84.2706756591797,156.476821899414,0
104,'E104',FP40,"[53.1395034790039, 74.3189697265625, 157.455169677734]",53.1395034790039,74.3189697265625,157.455169677734,0
105,'E105',FP41,"[55.3945655822754, 138.387390136719, 130.978363037109]",55.3945655822754,138.387390136719,130.978363037109,0
106,'E106',FP42,"[53.1376609802246, 130.636444091797, 133.645309448242]",53.1376609802246,130.636444091797,133.645309448242,0
107,'E107',FP43,"[50.3373413085938, 122.52579498291, 136.667037963867]",50.3373413085938,122.52579498291,136.667037963867,0
108,'E108',FP44,"[48.0426788330078, 114.526832580566, 138.717529296875]",48.0426788330078,114.526832580566,138.717529296875,0
109,'E109',FP45,"[44.3673667907715, 104.576469421387, 143.520278930664]",44.3673667907715,104.576469421387,143.520278930664,0
110,'E110',FP46,"[43.9275360107422, 95.4733352661133, 146.035537719727]",43.9275360107422,95.4733352661133,146.035537719727,0
111,'E111',FP47,"[43.1618804931641, 83.6426620483398, 149.106079101563]",43.1618804931641,83.6426620483398,149.106079101563,0
112,'E112',FP48,"[44.480094909668, 74.2799072265625, 150.777252197266]",44.480094909668,74.2799072265625,150.777252197266,0
113,'E113',FP49,"[52.5148086547852, 137.9931640625, 124.221527099609]",52.5148086547852,137.9931640625,124.221527099609,0
114,'E114',FP50,"[49.9598426818848, 129.829742431641, 126.901382446289]",49.9598426818848,129.829742431641,126.901382446289,0
115,'E115',FP51,"[48.4608840942383, 121.224411010742, 129.921112060547]",48.4608840942383,121.224411010742,129.921112060547,0
116,'E116',FP52,"[44.0070724487305, 113.302749633789, 132.515777587891]",44.0070724487305,113.302749633789,132.515777587891,0
117,'E117',FP53,"[39.6720657348633, 103.34602355957, 136.140319824219]",39.6720657348633,103.34602355957,136.140319824219,0
118,'E118',FP54,"[38.5036888122559, 93.8866729736328, 139.487762451172]",38.5036888122559,93.8866729736328,139.487762451172,0
119,'E119',FP55,"[38.4075889587402, 82.9322662353516, 141.827392578125]",38.4075889587402,82.9322662353516,141.827392578125,0
120,'E120',FP56,"[40.2214469909668, 73.1482086181641, 142.736480712891]",40.2214469909668,73.1482086181641,142.736480712891,0
121,'E121',FP57,"[50.806266784668, 136.729064941406, 115.251708984375]",50.806266784668,136.729064941406,115.251708984375,0
122,'E122',FP58,"[48.0353088378906, 129.311889648438, 118.782485961914]",48.0353088378906,129.311889648438,118.782485961914,0
123,'E123',FP59,"[46.7765998840332, 119.90315246582, 121.795043945313]",46.7765998840332,119.90315246582,121.795043945313,0
124,'E124',FP60,"[43.6716156005859, 112.650497436523, 124.565071105957]",43.6716156005859,112.650497436523,124.565071105957,0
125,'E117',FP61,"[38.2301330566406, 102.001541137695, 128.414657592773]",38.2301330566406,102.001541137695,128.414657592773,0
126,'E118',FP62,"[38.6027755737305, 92.3238220214844, 129.586517333984]",38.6027755737305,92.3238220214844,129.586517333984,0
127,'E119',FP63,"[35.4207344055176, 81.6323623657227, 134.079498291016]",35.4207344055176,81.6323623657227,134.079498291016,0
128,'E120',FP64,"[37.8829116821289, 72.1040573120117, 134.664123535156]",37.8829116821289,72.1040573120117,134.664123535156,0
129,'E121',LO01,"[83.3816604614258, 21.5111827850342, 106.03295135498]",83.3816604614258,21.5111827850342,106.03295135498,1
130,'E122',LO02,"[76.3501281738281, 27.2508792877197, 110.190284729004]",76.3501281738281,27.2508792877197,110.190284729004,1
131,'E123',LO03,"[68.0692443847656, 29.1395359039307, 114.867683410645]",68.0692443847656,29.1395359039307,114.867683410645,1
132,'E124',LO04,"[61.4711112976074, 33.2735900878906, 118.102996826172]",61.4711112976074,33.2735900878906,118.102996826172,1
133,'E117',LO05,"[54.3872032165527, 39.4135894775391, 124.653366088867]",54.3872032165527,39.4135894775391,124.653366088867,1
134,'E118',LO06,"[50.0188255310059, 46.3718032836914, 130.427185058594]",50.0188255310059,46.3718032836914,130.427185058594,1
135,'E119',LO07,"[47.4998512268066, 53.8176651000977, 136.512023925781]",47.4998512268066,53.8176651000977,136.512023925781,1
136,'E120',LO08,"[46.1599159240723, 61.4579238891602, 140.326126098633]",46.1599159240723,61.4579238891602,140.326126098633,0
137,'E121',PF01,"[149.575912475586, 139.881286621094, 98.7398223876953]",149.575912475586,139.881286621094,98.7398223876953,2
138,'E122',PF02,"[151.703872680664, 144.396789550781, 112.497673034668]",151.703872680664,144.396789550781,112.497673034668,2
139,'E123',PF03,"[149.698059082031, 147.123870849609, 121.816360473633]",149.698059082031,147.123870849609,121.816360473633,2
140,'E124',PF04,"[146.048095703125, 147.063690185547, 130.497573852539]",146.048095703125,147.063690185547,130.497573852539,2
141,'E117',PF05,"[138.731018066406, 146.439849853516, 139.914443969727]",138.731018066406,146.439849853516,139.914443969727,2
142,'E118',PF06,"[131.998870849609, 144.379516601563, 147.386795043945]",131.998870849609,144.379516601563,147.386795043945,2
143,'E119',IF01,"[144.625534057617, 74.8358917236328, 155.412490844727]",144.625534057617,74.8358917236328,155.412490844727,2
144,'E120',IF02,"[144.68180847168, 85.2746276855469, 158.150512695313]",144.68180847168,85.2746276855469,158.150512695313,2
145,'E121',IF03,"[144.406341552734, 94.8682708740234, 160.637161254883]",144.406341552734,94.8682708740234,160.637161254883,2
146,'E122',IF04,"[142.749328613281, 103.785278320313, 160.260147094727]",142.749328613281,103.785278320313,160.260147094727,2
147,'E123',IF05,"[138.178588867188, 115.024032592773, 159.50700378418]",138.178588867188,115.024032592773,159.50700378418,2
148,'E124',IF06,"[133.922897338867, 124.820411682129, 157.329193115234]",133.922897338867,124.820411682129,157.329193115234,2
