electrode_number,E_EEG,E_Brain,position,position_marker,x,y,z,newX,newY,newZ,newPosition
31,E31,PT7,"[70.4829406738281,147.643325805664,82.8818664550781]",Y,159.1213531,133.2006073,132.4192505,157.4230042,132.8670044,133.3569946,"[157.4230042, 132.8670044, 133.3569946]"
33,E33,LO1,"[62.6684112548828,151.390319824219,91.0495605468750]",Y,144.9452972,46.34854126,112.5283279,143.0399933,48.34030151,112.5940018,"[143.0399933, 48.34030151, 112.5940018]"
34,E34,LO2,"[53.6069717407227,143.372955322266,109.188072204590]",Y,146.8709869,49.83115387,121.1262207,145.1470032,50.33520126,120.7890015,"[145.1470032, 50.33520126, 120.7890015]"
35,E35,LO3,"[55.8685226440430,110.256423950195,77.3597106933594]",Y,145.0791473,54.2477951,127.0389404,145.7510071,54.31700134,127.197998,"[145.7510071, 54.31700134, 127.197998]"
36,E36,LO4,"[47.0707740783691,112.948501586914,79.2927856445313]",Y,144.7172699,58.37538147,135.0366669,146.3049927,58.26319885,135.0350037,"[146.3049927, 58.26319885, 135.0350037]"
37,E37,LO5,"[42.3528976440430,114.798744201660,84.6381149291992]",Y,146.9300995,62.24863815,141.7532806,149.3670044,59.48680115,141.0269928,"[149.3670044, 59.48680115, 141.0269928]"
38,E38,LO6,"[39.7132415771484,118.077392578125,91.6651000976563]",Y,148.8396454,65.74373627,149.4525299,152.1529999,65.09279633,149.8769989,"[152.1529999, 65.09279633, 149.8769989]"
39,E39,LO7,"[37.7562980651856,120.434272766113,97.9755401611328]",Y,145.1431274,70.37530518,155.9290619,152.2220001,68.46289825,157.4160004,"[152.2220001, 68.46289825, 157.4160004]"
40,E40,LO8,"[37.8848571777344,122.949737548828,106.022186279297]",Y,143.5132294,74.71634674,163.4375458,150.8509979,71.82060242,164.5240021,"[150.8509979, 71.82060242, 164.5240021]"
41,E41,FP1,"[118.235397338867,74.2993469238281,55.0588989257813]",Y,146.9611206,174.3066711,123.760582,144.4600067,172.7590027,126.1689987,"[144.4600067, 172.7590027, 126.1689987]"
43,E43,FP3,"[107.054580688477,74.7614135742188,58.1338424682617]",Y,151.4997864,157.4045105,131.6280975,152.5690002,157.2140045,131.5950012,"[152.5690002, 157.2140045, 131.5950012]"
44,E44,FP4,"[79.4200134277344,61.1360092163086,55.4700622558594]",Y,153.4628754,148.8223877,133.3887482,153.6499939,149.048996,133.598999,"[153.6499939, 149.048996, 133.598999]"
45,E45,FP5,"[67.9048919677734,60.2008895874023,60.1927261352539]",Y,156.2971191,140.1823273,136.5097046,156.0410004,139.3359985,136.3329926,"[156.0410004, 139.3359985, 136.3329926]"
46,E46,FP6,"[59.7221412658691,62.8095550537109,65.3349533081055]",Y,158.5379791,131.7974396,138.9421692,158.1889954,132.029007,138.8880005,"[158.1889954, 132.029007, 138.8880005]"
47,E47,FP7,"[54.5042190551758,66.2929382324219,72.0317535400391]",Y,160.5330505,124.4452972,141.0896912,159.3190002,124.4140015,141.0870056,"[159.3190002, 124.4140015, 141.0870056]"
48,E48,FP8,"[49.3511466979981,70.0541687011719,80.3154449462891]",Y,162.0167847,110.4535446,141.4706116,160.5249939,110.7419968,140.3540039,"[160.5249939, 110.7419968, 140.3540039]"
49,E49,FP9,"[48.0103225708008,74.7674713134766,87.4127349853516]",Y,143.651947,174.4845734,130.9205322,144.2550049,175.0050049,130.6909943,"[144.2550049, 175.0050049, 130.6909943]"
50,E50,FP10,"[42.3182601928711,75.3449096679688,93.7160644531250]",Y,146.7484741,166.2931671,134.6458282,148.4830017,166.5639954,136.0399933,"[148.4830017, 166.5639954, 136.0399933]"
52,E52,FP12,"[39.7867355346680,77.0541305541992,101.584960937500]",Y,150.2252502,149.8927307,139.9318695,153.1410065,150.4570007,139.9400024,"[153.1410065, 150.4570007, 139.9400024]"
53,E53,FP13,"[120.536247253418,44.7354164123535,83.1792602539063]",Y,153.1483307,140.1055145,140.9263306,153.8890076,140.7480011,141.076004,"[153.8890076, 140.7480011, 141.076004]"
55,E55,FP15,"[110.873901367188,43.1985549926758,86.3967742919922]",Y,158.1484375,122.9934235,146.9704742,158.6190033,123.2190018,146.7550049,"[158.6190033, 123.2190018, 146.7550049]"
56,E56,FP16,"[104.097686767578,44.3182106018066,91.0843811035156]",Y,162.7536926,109.8575897,149.1250458,158.3450012,113.0589981,147.6470032,"[158.3450012, 113.0589981, 147.6470032]"
57,E57,FP17,"[77.8736953735352,31.0665092468262,91.6616058349609]",Y,141.5858459,172.5077667,137.7661438,143.9880066,174.8549957,137.7160034,"[143.9880066, 174.8549957, 137.7160034]"
58,E58,FP18,"[72.5081481933594,32.3636627197266,97.0640258789063]",Y,145.272644,165.0299683,141.5070801,146.345993,165.3130035,141.4450073,"[146.345993, 165.3130035, 141.4450073]"
59,E59,FP19,"[66.8967895507813,34.4570960998535,102.012619018555]",Y,147.3879547,154.7611694,144.2789917,151.7429962,155.5279999,144.3860016,"[151.7429962, 155.5279999, 144.3860016]"
60,E60,FP20,"[61.2710952758789,37.5171928405762,105.870773315430]",Y,148.6587524,145.6122742,144.978363,151.2940063,145.7890015,147.4069977,"[151.2940063, 145.7890015, 147.4069977]"
61,E61,FP21,"[56.5337409973145,41.9704360961914,110.641822814941]",Y,152.3373718,136.5312805,148.6234436,154.4859924,137.5749969,149.378006,"[154.4859924, 137.5749969, 149.378006]"
62,E62,FP22,"[50.0758285522461,47.6100425720215,114.895767211914]",Y,153.2481689,128.0835266,150.412384,155.1399994,128.4019928,151.8249969,"[155.1399994, 128.4019928, 151.8249969]"
63,E63,FP23,"[47.6285018920898,54.6808319091797,118.125740051270]",Y,156.858429,120.272644,153.9204712,156.1549988,120.0169983,153.4470062,"[156.1549988, 120.0169983, 153.4470062]"
64,E64,FP24,"[66.1873245239258,184.278884887695,136.630737304688]",Y,159.9239807,106.9750824,154.9523315,157.9980011,105.8190002,154.4190063,"[157.9980011, 105.8190002, 154.4190063]"
65,E65,FP25,"[61.6436233520508,180.326354980469,143.552291870117]",Y,137.1312866,170.8522949,144.3196411,138.647995,176.2830048,145.0010071,"[138.647995, 176.2830048, 145.0010071]"
