electrode_number,E_EEG,E_Brain,position,X,Y,Z,label
34,'E34',PS10,"[53.1384773254395, 122.558433532715, 68.6577301025391]",53.1384773254395,122.558433532715,68.6577301025391,2
35,'E35',AS01,"[23.7988605499268, 99.277702331543, 76.9620513916016]",23.7988605499268,99.277702331543,76.9620513916016,2
36,'E36',AS02,"[34.6756362915039, 97.9085159301758, 75.7032775878906]",34.6756362915039,97.9085159301758,75.7032775878906,2
37,'E37',AS03,"[45.9981346130371, 97.0343856811523, 79.7649078369141]",45.9981346130371,97.0343856811523,79.7649078369141,2
38,'E38',AS04,"[56.8231086730957, 95.7548446655273, 79.6585998535156]",56.8231086730957,95.7548446655273,79.6585998535156,2
39,'E39',AS05,"[66.3380737304688, 95.1986923217773, 88.3910903930664]",66.3380737304688,95.1986923217773,88.3910903930664,2
40,'E40',AS06,"[71.1383972167969, 95.3484954833984, 102.256958007813]",71.1383972167969,95.3484954833984,102.256958007813,2
41,'E41',PT01,"[86.7777252197266, 52.242977142334, 94.8616409301758]",86.7777252197266,52.242977142334,94.8616409301758,2
42,'E42',PT02,"[81.2867813110352, 51.5110244750977, 97.6291198730469]",81.2867813110352,51.5110244750977,97.6291198730469,2
43,'E43',PT03,"[73.9438934326172, 52.163387298584, 94.6999969482422]",73.9438934326172,52.163387298584,94.6999969482422,2
44,'E44',PT04,"[67.1868133544922, 51.6960144042969, 94.5806427001953]",67.1868133544922,51.6960144042969,94.5806427001953,2
45,'E45',PT05,"[60.4056015014648, 52.1603317260742, 94.032096862793]",60.4056015014648,52.1603317260742,94.032096862793,2
46,'E46',PT06,"[52.0575256347656, 52.9670066833496, 92.8361434936523]",52.0575256347656,52.9670066833496,92.8361434936523,2
47,'E47',PT07,"[39.9262199401856, 55.6177215576172, 91.4978179931641]",39.9262199401856,55.6177215576172,91.4978179931641,2
48,'E48',PT08,"[33.6566047668457, 58.8301887512207, 93.4462432861328]",33.6566047668457,58.8301887512207,93.4462432861328,2
49,'E49',LO01,"[45.7769050598145, 44.9973373413086, 117.569946289063]",45.7769050598145,44.9973373413086,117.569946289063,2
50,'E50',LO02,"[42.0710296630859, 49.4986419677734, 123.899566650391]",42.0710296630859,49.4986419677734,123.899566650391,2
51,'E51',LO03,"[38.4574928283691, 53.7073249816895, 129.051513671875]",38.4574928283691,53.7073249816895,129.051513671875,2
52,'E52',LO04,"[35.092399597168, 58.2187805175781, 133.859527587891]",35.092399597168,58.2187805175781,133.859527587891,2
53,'E53',LO05,"[31.3351821899414, 64.2293243408203, 138.419448852539]",31.3351821899414,64.2293243408203,138.419448852539,2
54,'E54',LO06,"[29.4887580871582, 70.4769897460938, 141.626556396484]",29.4887580871582,70.4769897460938,141.626556396484,0
55,'E55',LO07,"[28.0242576599121, 78.0932998657227, 144.236114501953]",28.0242576599121,78.0932998657227,144.236114501953,0
56,'E56',LO08,"[26.794828414917, 84.989013671875, 145.954498291016]",26.794828414917,84.989013671875,145.954498291016,0
57,'E57',FP01,"[68.0855407714844, 144.871063232422, 154.911315917969]",68.0855407714844,144.871063232422,154.911315917969,0
58,'E58',FP02,"[68.1911010742188, 137.08464050293, 158.138854980469]",68.1911010742188,137.08464050293,158.138854980469,0
59,'E59',FP03,"[68.33349609375, 130.688598632813, 161.950164794922]",68.33349609375,130.688598632813,161.950164794922,0
60,'E60',FP04,"[69.9523239135742, 123.435882568359, 163.337371826172]",69.9523239135742,123.435882568359,163.337371826172,0
61,'E61',FP05,"[69.9887237548828, 115.551635742188, 165.342163085938]",69.9887237548828,115.551635742188,165.342163085938,0
62,'E62',FP06,"[68.6665573120117, 108.366714477539, 168.913162231445]",68.6665573120117,108.366714477539,168.913162231445,0
63,'E63',FP07,"[65.7550659179688, 100.022155761719, 172.040252685547]",65.7550659179688,100.022155761719,172.040252685547,1
64,'E64',FP08,"[65.2281112670898, 91.5425720214844, 171.653076171875]",65.2281112670898,91.5425720214844,171.653076171875,1
65,'E65',FP09,"[62.09814453125, 145.013397216797, 153.157897949219]",62.09814453125,145.013397216797,153.157897949219,0
66,'E66',FP10,"[62.4604187011719, 137.478149414063, 155.971252441406]",62.4604187011719,137.478149414063,155.971252441406,0
67,'E67',FP11,"[61.3952598571777, 129.99201965332, 159.816253662109]",61.3952598571777,129.99201965332,159.816253662109,0
68,'E68',FP12,"[61.1553649902344, 123.032562255859, 162.135925292969]",61.1553649902344,123.032562255859,162.135925292969,0
69,'E69',FP13,"[62.4723434448242, 116.01594543457, 162.922424316406]",62.4723434448242,116.01594543457,162.922424316406,0
70,'E70',FP14,"[60.6493225097656, 107.117889404297, 166.584320068359]",60.6493225097656,107.117889404297,166.584320068359,0
71,'E71',FP15,"[60.1114959716797, 99.7673416137695, 168.306793212891]",60.1114959716797,99.7673416137695,168.306793212891,0
72,'E72',FP16,"[58.3322257995606, 91.7200775146484, 169.061553955078]",58.3322257995606,91.7200775146484,169.061553955078,0
73,'E73',FP17,"[55.5883483886719, 144.853393554688, 149.755905151367]",55.5883483886719,144.853393554688,149.755905151367,0
74,'E74',FP18,"[55.3420181274414, 136.736267089844, 152.609268188477]",55.3420181274414,136.736267089844,152.609268188477,0
75,'E75',FP19,"[54.799560546875, 129.268157958984, 155.866577148438]",54.799560546875,129.268157958984,155.866577148438,0
76,'E76',FP20,"[53.4613418579102, 121.902603149414, 161.246154785156]",53.4613418579102,121.902603149414,161.246154785156,0
77,'E77',FP21,"[53.8175010681152, 115.297576904297, 161.199859619141]",53.8175010681152,115.297576904297,161.199859619141,0
78,'E78',FP22,"[52.9003372192383, 107.460205078125, 163.739013671875]",52.9003372192383,107.460205078125,163.739013671875,0
79,'E79',FP23,"[53.3048477172852, 99.3280487060547, 166.057678222656]",53.3048477172852,99.3280487060547,166.057678222656,0
80,'E80',FP24,"[52.362922668457, 91.8439254760742, 167.265289306641]",52.362922668457,91.8439254760742,167.265289306641,0
81,'E81',FP25,"[49.5924949645996, 144.80256652832, 146.670745849609]",49.5924949645996,144.80256652832,146.670745849609,0
82,'E82',FP26,"[48.1049499511719, 137.020446777344, 150.092742919922]",48.1049499511719,137.020446777344,150.092742919922,0
83,'E83',FP27,"[47.885627746582, 129.227813720703, 153.698043823242]",47.885627746582,129.227813720703,153.698043823242,0
84,'E84',FP28,"[47.5267562866211, 121.736404418945, 156.459686279297]",47.5267562866211,121.736404418945,156.459686279297,0
85,'E85',FP29,"[46.9174003601074, 114.711837768555, 158.683563232422]",46.9174003601074,114.711837768555,158.683563232422,0
86,'E86',FP30,"[45.7656936645508, 106.833671569824, 161.898193359375]",45.7656936645508,106.833671569824,161.898193359375,0
87,'E87',FP31,"[47.592227935791, 98.7532043457031, 161.566665649414]",47.592227935791,98.7532043457031,161.566665649414,0
88,'E88',FP32,"[46.9765281677246, 91.5062103271484, 163.548736572266]",46.9765281677246,91.5062103271484,163.548736572266,0
89,'E89',FP33,"[44.1573677062988, 144.877624511719, 142.286560058594]",44.1573677062988,144.877624511719,142.286560058594,0
90,'E90',FP34,"[43.298828125, 136.965545654297, 145.028106689453]",43.298828125,136.965545654297,145.028106689453,0
91,'E91',FP35,"[42.0137138366699, 129.313568115234, 149.527099609375]",42.0137138366699,129.313568115234,149.527099609375,0
92,'E92',FP36,"[40.5294418334961, 121.434341430664, 152.526596069336]",40.5294418334961,121.434341430664,152.526596069336,0
93,'E93',FP37,"[38.3765335083008, 113.921600341797, 156.295989990234]",38.3765335083008,113.921600341797,156.295989990234,0
94,'E94',FP38,"[39.3526229858398, 105.703262329102, 158.10530090332]",39.3526229858398,105.703262329102,158.10530090332,0
95,'E95',FP39,"[40.0724411010742, 98.4941482543945, 158.814376831055]",40.0724411010742,98.4941482543945,158.814376831055,0
96,'E96',FP40,"[42.0923767089844, 91.5056762695313, 156.102462768555]",42.0923767089844,91.5056762695313,156.102462768555,0
97,'E97',FP41,"[39.8975219726563, 145.065017700195, 136.789764404297]",39.8975219726563,145.065017700195,136.789764404297,0
98,'E98',FP42,"[39.1455192565918, 136.661285400391, 139.216293334961]",39.1455192565918,136.661285400391,139.216293334961,0
99,'E99',FP43,"[36.5123291015625, 128.772735595703, 144.405792236328]",36.5123291015625,128.772735595703,144.405792236328,0
100,'E100',FP44,"[34.8867263793945, 121.185440063477, 148.272613525391]",34.8867263793945,121.185440063477,148.272613525391,0
101,'E101',FP45,"[33.1858444213867, 113.42170715332, 152.037109375]",33.1858444213867,113.42170715332,152.037109375,0
102,'E102',FP46,"[33.3058891296387, 104.839294433594, 154.402069091797]",33.3058891296387,104.839294433594,154.402069091797,0
103,'E103',FP47,"[33.7221069335938, 97.4998931884766, 154.146118164063]",33.7221069335938,97.4998931884766,154.146118164063,0
104,'E104',FP48,"[35.1499404907227, 90.3868713378906, 153.508682250977]",35.1499404907227,90.3868713378906,153.508682250977,0
105,'E105',FP49,"[35.0244445800781, 145.334411621094, 130.830291748047]",35.0244445800781,145.334411621094,130.830291748047,0
106,'E106',FP50,"[34.1064720153809, 136.829925537109, 131.318634033203]",34.1064720153809,136.829925537109,131.318634033203,0
107,'E107',FP51,"[31.6331615447998, 127.88493347168, 137.57177734375]",31.6331615447998,127.88493347168,137.57177734375,0
108,'E108',FP52,"[28.9742126464844, 120.57398223877, 140.879150390625]",28.9742126464844,120.57398223877,140.879150390625,0
109,'E109',FP53,"[27.6150379180908, 112.190162658691, 145.062744140625]",27.6150379180908,112.190162658691,145.062744140625,0
110,'E110',FP54,"[27.1796646118164, 104.465301513672, 147.778564453125]",27.1796646118164,104.465301513672,147.778564453125,0
111,'E111',FP55,"[27.0585250854492, 96.9570159912109, 148.658081054688]",27.0585250854492,96.9570159912109,148.658081054688,0
112,'E112',FP56,"[27.7498245239258, 89.8627243041992, 148.762344360352]",27.7498245239258,89.8627243041992,148.762344360352,0
113,'E113',FP57,"[32.3657531738281, 145.461547851563, 122.803657531738]",32.3657531738281,145.461547851563,122.803657531738,0
114,'E114',FP58,"[29.7961406707764, 137.246139526367, 125.943634033203]",29.7961406707764,137.246139526367,125.943634033203,0
115,'E115',FP59,"[26.6382675170898, 128.068954467773, 130.657867431641]",26.6382675170898,128.068954467773,130.657867431641,0
116,'E116',FP60,"[23.8089828491211, 120.190551757813, 134.057266235352]",23.8089828491211,120.190551757813,134.057266235352,0
117,'E117',FP61,"[23.0920486450195, 111.643211364746, 138.439498901367]",23.0920486450195,111.643211364746,138.439498901367,0
118,'E118',FP62,"[21.7261810302734, 104.26163482666, 141.363006591797]",21.7261810302734,104.26163482666,141.363006591797,0
119,'E119',FP63,"[21.9343929290772, 96.8899154663086, 142.0107421875]",21.9343929290772,96.8899154663086,142.0107421875,0
120,'E120',FP64,"[22.8824310302734, 89.0376434326172, 141.981323242188]",22.8824310302734,89.0376434326172,141.981323242188,0
